record_irn,identifier,title,media_irn,width,height,license,record_include,record_complete,media_include
1466442,RB001172,Los Calendarios Mexicanos,350561,4594,6677,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350562,5388,5568,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350563,6360,4548,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350564,5484,5928,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350565,5946,5600,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350566,4740,4584,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350567,5928,5484,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350568,3543,3648,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350569,4596,5976,No Known Copyright Restrictions,n,y,n
1466620,RB001177,A history of the birds of New Zealand,360227,5332,6803,No Known Copyright Restrictions,y,y,y
1466620,RB001177,A history of the birds of New Zealand,360228,4896,6573,No Known Copyright Restrictions,y,y,y
1466626,RB001178,A history of the birds of New Zealand,360229,5158,6742,No Known Copyright Restrictions,n,y,n
1466626,RB001178,A history of the birds of New Zealand,360230,5003,6508,No Known Copyright Restrictions,n,y,y
1483046,RB001054/022a,"Scene in a New Zealand forest near Porirua, Plate 6. From the book: The New Zealanders",364747,5142,7635,No Known Copyright Restrictions,y,,n
1483046,RB001054/022a,"Scene in a New Zealand forest near Porirua, Plate 6. From the book: The New Zealanders",364748,6916,9313,No Known Copyright Restrictions,y,,n
1483046,RB001054/022a,"Scene in a New Zealand forest near Porirua, Plate 6. From the book: The New Zealanders",328881,5188,7282,No Known Copyright Restrictions,y,,y
1483265,RB001054/066a,"The volcanic region of pumice hills, looking towards Tongariro and the Ruapahu. Plate 28. From the book: The New Zealanders",364836,6197,5190,No Known Copyright Restrictions,y,y,y
1483265,RB001054/066a,"The volcanic region of pumice hills, looking towards Tongariro and the Ruapahu. Plate 28. From the book: The New Zealanders",364837,8931,6965,No Known Copyright Restrictions,y,y,y
1484240,RB001037/001a,Kiwi,360461,4608,3456,No Known Copyright Restrictions,y,y,y
1484244,RB001037/003a,Kiwi,360462,4608,3456,No Known Copyright Restrictions,y,y,y
1484245,RB001037/015a,"Upper end of a tibia D. Maximus, Moa",370145,4867,3932,No Known Copyright Restrictions,n,y,n
1488163,RB001206/020a,"Hatteria Punctata. Plate 20. From the book The zoology of the voyage of H.M.S. Erebus & Terror 1839 - 1843. Vol. 2 Reptiles, Fishes, Crustacea, Insects, Mollusca",22069,3330,2639,No Known Copyright Restrictions,y,y,y
1488257,RB001201/015a,"Glaucope cendre male (Novelle-Zelande). Oiseaux Plate 15. From the book: Voyage de la corvette l'Astrolabe execute pendant les annees 1826-1827-1828-1829. Zoologique Atlas, Tome II",539240,4659,7634,No Known Copyright Restrictions,y,y,y
1495056,RB000268/014a,"A Native of Otaheite, in the dress of his Country. Plate 3. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",369439,5688,7064,No Known Copyright Restrictions,y,,y
1495056,RB000268/014a,"A Native of Otaheite, in the dress of his Country. Plate 3. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",369440,6812,8943,No Known Copyright Restrictions,y,,y
1496403,RB000261/Ia,A General Chart : Exhibiting the discoveries made by Capt.n James Cook in this and his preceeding Voyages : with the tracks of the Ships under his Command. Plate 1. From the book: Folio of Plates to Captain Cook's Voyages,370598,8841,5643,No Known Copyright Restrictions,n,y,n
1498640,RB000261/047a,"Tereoboo, King of Owyhee, bringing Presents to Cap.J Cook.  Plate 61. From the book: Folio of Plates to Captain Cook's Voyages",370673,8391,5665,No Known Copyright Restrictions,n,y,n
1500085,RB000261/059a,A White Bear. Plate 73. From the book: Folio of Plates to Captain Cook's Voyages,370697,8336,6800,No Known Copyright Restrictions,y,y,y
1500149,RB000261/072a,Chart of Van Diemens Land. Plate 5. From the book: Folio of Plates to Captain Cook's Voyages,370726,8542,6094,No Known Copyright Restrictions,y,y,y
1500149,RB000261/072a,Chart of Van Diemens Land. Plate 5. From the book: Folio of Plates to Captain Cook's Voyages,370725,9176,7136,No Known Copyright Restrictions,y,y,y
1500160,RB000261/076a,"Christmas Island latitude 1* 58'N. longitude 202* 28' E. discovered in the ships Resolution and Discovery 1777, variation 6* 0' E. Plate 32. From the book: Folio of Plates to Captain Cook's Voyages",370733,3924,3517,No Known Copyright Restrictions,n,y,n
1500188,RB000261/079a,"Sketch of the harbour of Samganooda on the Island of Oonalaska Lat. 53* 55'N, Long. 193* 30'E, variation 20* 3' E 1778. Plate 55. From the book: Folio of Plates to Captain Cook's Voyages",370739,3588,3481,No Known Copyright Restrictions,y,y,y
1500267,RB000261/081a,View of Sulphur Island bearing ENE. Plate 80. From the book: Folio of Plates to Captain Cook's Voyages,370740,3816,4712,No Known Copyright Restrictions,n,y,n
1501123,RB000296/001a,"Man Woman & Child, natives of Terra del fuego, in the dress of that Country, Plate 1. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358097,5436,4080,No Known Copyright Restrictions,y,y,y
1501124,RB000296/000a,"Eastern Hemisphere. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358131,4080,5436,No Known Copyright Restrictions,n,y,n
1501128,RB000296/008a,"View of a village in the Bay of Good success in the Islands of Terra del Fuego, Plate 2. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358098,5436,4080,No Known Copyright Restrictions,y,y,y
1501129,RB000296/000b,"Western Hemisphere. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358133,4080,5436,No Known Copyright Restrictions,y,y,y
1501131,RB000296/004a,"Venus Fort, Erected by the Endeavors people to secure themselves during the Observation of the transit of Venus at Otaheite. Plate 4. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358100,5436,4080,No Known Copyright Restrictions,y,y,y
1501134,RB000296/007a,"The head of a Native of Omtaheite with the face Curiously tataoued. And the n'ry mouth, or manner of defying their enemies practised by the people of that & the neighboring island. Plate 7. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358103,5436,4080,No Known Copyright Restrictions,y,y,y
1501137,RB000296/066a,"The Lad Taiyota, Native of Otaheite, in the dress of his Country. Plate 9. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358105,3854,5122,No Known Copyright Restrictions,y,y,y
1501141,RB000296/075a,"Various Instruments, & Utensils, of the Natives of Otaheite, & of the adjacent Islands.  Plate 13. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358115,5436,4080,No Known Copyright Restrictions,n,y,n
1501142,RB000296/086a,"View of the North Side of the Entrance into Poverty Bay, & Morai Island, in New Zealand. 1. Young Nick's Head. 2. Morai Island. And View of another side of the Entrance into the said Bay.  Plate 14. From the book: A journal of a voyage to the South Seas, in his Majesty's ship the Endeavour",358116,5436,4080,No Known Copyright Restrictions,y,y,y
1524604,RB001235,"Thesaurus imaginum piscium testaceorum; quales sunt cancri, echini, echinometra, stellae marinae, &c. ut et cochlearum ... quibus accedunt conchylia, ut nautilus, cornu Ammonis, & conch univalvi et bivalviae ... denique mineralia ...",386497,8151,6461,CC BY-NC-ND 4.0,n,y,n
1524604,RB001235,"Thesaurus imaginum piscium testaceorum; quales sunt cancri, echini, echinometra, stellae marinae, &c. ut et cochlearum ... quibus accedunt conchylia, ut nautilus, cornu Ammonis, & conch univalvi et bivalviae ... denique mineralia ...",386498,6367,9800,CC BY-NC-ND 4.0,n,y,n
1524604,RB001235,"Thesaurus imaginum piscium testaceorum; quales sunt cancri, echini, echinometra, stellae marinae, &c. ut et cochlearum ... quibus accedunt conchylia, ut nautilus, cornu Ammonis, & conch univalvi et bivalviae ... denique mineralia ...",386499,6215,9762,CC BY-NC-ND 4.0,n,y,n
1524604,RB001235,"Thesaurus imaginum piscium testaceorum; quales sunt cancri, echini, echinometra, stellae marinae, &c. ut et cochlearum ... quibus accedunt conchylia, ut nautilus, cornu Ammonis, & conch univalvi et bivalviae ... denique mineralia ...",386500,6520,9828,CC BY-NC-ND 4.0,n,y,n
1529365,RB001287,The Practical Mechanic's Journal record of the Great Exhibition 1862,385348,6920,8696,No Known Copyright Restrictions,y,y,y
1529365,RB001287,The Practical Mechanic's Journal record of the Great Exhibition 1862,385349,7040,8888,No Known Copyright Restrictions,y,y,y
1529377,RB001289,Self Help wartime cooking suggestions : how to get the most out of your rations,385354,8104,6327,No Known Copyright Restrictions,n,y,n
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385355,5313,8505,No Known Copyright Restrictions,y,y,y
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385356,5193,8408,No Known Copyright Restrictions,y,y,y
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385357,5360,8337,No Known Copyright Restrictions,y,y,y
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385358,5314,8360,No Known Copyright Restrictions,y,y,y
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385359,7833,6416,No Known Copyright Restrictions,y,y,y
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385360,7882,6537,No Known Copyright Restrictions,y,y,y
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385361,7809,6537,No Known Copyright Restrictions,y,y,y
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385362,7881,6513,No Known Copyright Restrictions,y,y,y
1529379,RB001290,"J.H.Hopkins Son, wholesale tin and plate workers and japanners in general ; Granville Street Works, Broad Street, Birmingham",385363,3662,6196,No Known Copyright Restrictions,y,y,y
1659408,RB000217/001,"Chart of the Country between Manawatu and Port Nicholson, Comprising the Wairarapa Valley, New Zealand",448862,12127,7782,No Known Copyright Restrictions,y,y,y
1659409,RB000217/002,"Chart of the Harbour of Port-Nicholson, New Zealand",448861,6898,9246,No Known Copyright Restrictions,y,y,y
1659410,RB000217/003,"Working Plan of the District of the Upper Hut, New Zealand",448860,13723,7409,No Known Copyright Restrictions,n,y,n
1679737,RB001178/019a,The Kakapo or Owl Parrot Stringops Habroptilus (one-Half Natural Size) Plate 19. From the book: A history of the birds of New Zealand Vol. 1,360230,5003,6508,No Known Copyright Restrictions,y,y,y
1685820,RB001314/015a,Panorama From Point Sublime [Part 1 Looking East] Plate 15. From the book: Atlas to accompany the monograph on the tertiary history of the Grand Cañon District,465414,10328,6544,No Known Copyright Restrictions,y,y,y
1685821,RB001314/017a,Panorama From Point Sublime [Part 3 Looking West] Plate 17. From the book: Atlas to accompany the monograph on the tertiary history of the Grand Cañon District,465416,10250,6542,No Known Copyright Restrictions,n,y,n
1685822,RB001314/016a,Panorama From Point Sublime [Part 2 Looking South] Plate 16. From the book: Atlas to accompany the monograph on the tertiary history of the Grand Cañon District,465415,10241,6425,No Known Copyright Restrictions,y,y,y
1685840,RB001314/006a,The Grand Cañon at the foor of the Toroweap - Looking East  Plate 6. From the book: Atlas to accompany the monograph on the tertiary history of the Grand Cañon District,465413,10208,6387,No Known Copyright Restrictions,y,y,y
1729330,RB001173/044a,"A Toupapow, with a Corpse on it attended by the Chief Mourner in his Habit of Ceremony. Plate 5. From the book: Prints to Cook's Voyages",499284,9410,5927,No Known Copyright Restrictions,n,y,n
1773708,RB001316/003a,"[Molluscs] Plate 3. From the book Te Ika a Maui, or, New Zealand and its inhabitants",525561,5701,8814,No Known Copyright Restrictions,y,y,y
1773709,RB001316/005a,"[Native Plants] Plate 5. From the book Te Ika a Maui, or, New Zealand and its inhabitants",525562,5701,8814,No Known Copyright Restrictions,y,y,y
1773757,RB001317/009a,"Tarata, -  Pittosporu eugenioides. Plate 9. From the book: The art album of New Zealand flora",608623,7104,8525,No Known Copyright Restrictions,y,y,y
1773758,RB001317/037a,"Pohutukawa, -  Metrosideros tomentosa. Plate 37. From the book: The art album of New Zealand flora",608651,6921,8503,No Known Copyright Restrictions,y,y,y
1773763,RB001319/010a,"Apteryx Australis Scale 4/7ths the natural size. Plate 10. From the book: Memoirs on the extinct wingless birds of New Zealand : with an appendix on those of England, Australia, Newfoundland, Mauritius, and Rodriguez. Volume 2",525565,9317,6863,No Known Copyright Restrictions,n,y,n
1815361,RB001173/064a,Sketch of Dusky Bay in New Zealand. Plate 64. From the Book: Prints to Cook's Voyages,553902,9322,5549,No Known Copyright Restrictions,n,y,n
1875554,RB001053/002a,Sawyers' clearing in a forest of Kauri (commonly called Cowdie). Trees on the banks of the Kaipara River. Plate 2. From the book: Illustrations to Adventure in New Zealand,604047,7467,11019,No Known Copyright Restrictions,y,y,y
1875558,RB001053/003a,Port Nicholson from the hills above Pitone in 1840. Plate 3. From the book: Illustrations to Adventure in New Zealand,604046,11125,7398,No Known Copyright Restrictions,n,y,n
1875561,RB001053/004a,Habour of Port Nicholson and towns of Wellington. Plate 4. From the book: Illustrations to Adventure in New Zealand,604045,10015,2593,No Known Copyright Restrictions,y,y,y
1875716,RB001053/006a,"The town of Petre, on the Waganui river in September 1841. Plate 6. From the book: Illustrations to Adventure in New Zealand",604041,11018,7408,No Known Copyright Restrictions,n,y,n
1876700,RB001053/007a,The town and part of the habour of Nelson in 1842. Plate 7. From the book: Illustrations to Adventure in New Zealand,604040,10015,2593,No Known Copyright Restrictions,n,y,n
1876705,RB001053/008a,"The level country at the south end, looking north of Blind bay Plate 8 . From the book: Illustrations to Adventure in New Zealand",604039,7138,2593,No Known Copyright Restrictions,n,y,n
1876706,RB001053/009a,Plain of the Ruamahanga opening into Palliser Bay near Wellington. Plate 9 . From the book: Illustrations to Adventure in New Zealand,604038,10149,2593,No Known Copyright Restrictions,n,y,n
1876724,RB001053/010a,"The town of New Plymouth in the year 1843, from a sketch taken by Mrs Wicksteed from the residence of John Tylston Wicksteed Esqr., the Company's agent, on Mount Eliot. Plate 10 . From the book: Illustrations to Adventure in New Zealand",604037,10015,2593,No Known Copyright Restrictions,n,y,n
1876742,RB001053/012a,Porirua Harbour and Paramatta whaling station in Nov 1843. Plate 12. From the book: Illustrations to Adventure in New Zealand,604033,11029,7390,No Known Copyright Restrictions,y,y,y
1876751,RB001053/013a,The Titoki. A Forest-Tree / The Taua. A Large Forest-Tree Plate 13. From the book: Illustrations to Adventure in New Zealand,604032,10737,7421,No Known Copyright Restrictions,,,n
1876751,RB001053/013a,The Titoki. A Forest-Tree / The Taua. A Large Forest-Tree Plate 13. From the book: Illustrations to Adventure in New Zealand,604031,6028,8430,No Known Copyright Restrictions,,,n
1876751,RB001053/013a,The Titoki. A Forest-Tree / The Taua. A Large Forest-Tree Plate 13. From the book: Illustrations to Adventure in New Zealand,604030,6859,8925,No Known Copyright Restrictions,,,n
1876752,RB001053/014a,The Tutu. Commonly called Toot. / The Rata. In Flower. Plate 14. From the book: Illustrations to Adventure in New Zealand,604029,10781,7552,No Known Copyright Restrictions,y,,y
1876752,RB001053/014a,The Tutu. Commonly called Toot. / The Rata. In Flower. Plate 14. From the book: Illustrations to Adventure in New Zealand,604027,7043,8741,No Known Copyright Restrictions,y,,y
1878776,RB001053/015a,"The Phormium Tenax, or New Zealand Flax. Plate 15. From the book: Illustrations to Adventure in New Zealand",604026,7577,10911,No Known Copyright Restrictions,,,
1878899,RB001334/011a,Plate 11.  From the Book. Pictorial illustrations of New Zealand,604024,6653,8721,No Known Copyright Restrictions,n,y,n
1878899,RB001334/011a,Plate 11.  From the Book. Pictorial illustrations of New Zealand,604023,6389,3859,No Known Copyright Restrictions,n,y,n
1878899,RB001334/011a,Plate 11.  From the Book. Pictorial illustrations of New Zealand,604022,8823,5747,No Known Copyright Restrictions,n,y,n
1878899,RB001334/011a,Plate 11.  From the Book. Pictorial illustrations of New Zealand,604021,5567,4256,No Known Copyright Restrictions,n,y,n
1878901,RB001334/016a,Plate 16.  From the Book. Pictorial illustrations of New Zealand,604020,6670,8751,No Known Copyright Restrictions,,,
1878901,RB001334/016a,Plate 16.  From the Book. Pictorial illustrations of New Zealand,604019,6449,4324,No Known Copyright Restrictions,,,
1878901,RB001334/016a,Plate 16.  From the Book. Pictorial illustrations of New Zealand,604018,8251,6003,No Known Copyright Restrictions,,,
1878901,RB001334/016a,Plate 16.  From the Book. Pictorial illustrations of New Zealand,604017,6666,4494,No Known Copyright Restrictions,,,
1891122,RB001176/001a,"The Moa of New Zealand (Dinorus giganteus). From a specimen in the Canterbury Museum, N.Z. Plate 1. From the book A history of the birds of New Zealand.",608576,5484,6744,No Known Copyright Restrictions,,,
1891123,RB001317/000a,Wild Flowers and Berries. Plate 0. From the book: The art album of New Zealand flora : being a systematic and popular description of the native flowering plants of New Zealand and the adjacent islands : volume 1;,608614,7104,8525,No Known Copyright Restrictions,,,
1891136,RB001176/002a,Hieracidea Novae Zealandiae (Adult and Young). Plate 2. From the book A history of the birds of New Zealand.,608577,5308,6760,No Known Copyright Restrictions,,,
